Id;Name;COR_Y;COR_X;Address;phoneNumber;Working Hours;Language;Images
1;DROGAS DILMAR;16.185.066;-756.091.064;CALLE 18 #8-67 7 AGOSTO;+57 44351112;"Thursday: 8 AM–7:30 PM
Friday: 8 AM–7:30 PM
Saturday: 8 AM–7:30 PM
Sunday: 8 AM–6 PM
Monday: 8 AM–7:30 PM
Tuesday: 8 AM–7:30 PM
Wednesday: 8 AM–7:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
2;DROGUERIA COSMEDIC FLORENCIA;16.244.062;-756.058.195;calle 22 A # 3;+57 314 4496755;"Thursday: 8 AM–9:30 PM
Friday: 8 AM–9:30 PM
Saturday: 8 AM–9:30 PM
Sunday: 9 AM–1 PM
Monday: 8 AM–9:30 PM
Tuesday: 8 AM–9:30 PM
Wednesday: 8 AM–9:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
3;DROGUERIA COSMEDIC FLORENCIA;16.209.955;-756.092.894;Cl. 21 #4c -132;+57 314 4496755;"Thursday: 9 AM–11 PM
Friday: 8 AM–11:30 PM
Saturday: 9 AM–11 PM
Sunday: 5–11 PM
Monday: 8 AM–11 PM
Tuesday: 8 AM–11 PM
Wednesday: 8 AM–11:30 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
4;DROGUERIA SAMMY SALUD Y VIDA;16.194.799;-756.313.576;Cra. 30 #24-30;+57 318 3797320;"Thursday: Open 24 hours
Friday: 8 AM–6 PM
Saturday: 6–11 PM
Sunday: Open 24 hours
Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
5;DROGUERÍA SELECTA 2;16.160.808;-756.139.629;Cra. 12 #15-84 Esquina;+57 84356254;"Thursday: 7:30 AM–6 PM
Friday: 7:30 AM–6 PM
Saturday: 7:30 AM–6 PM
Sunday: 7:30 AM–6 PM
Monday: 7:30 AM–6 PM
Tuesday: 7:30 AM–6 PM
Wednesday: 7:30 AM–6 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
6;Drogueria Esmar;16.207.794;-756.102.641;Cra. 7 #21-04;+57 321 9321029;"Thursday: 7 AM–9 PM
Friday: 7 AM–9 PM
Saturday: 8 AM–9 PM
Sunday: 8 AM–1:30 PM
Monday: 7 AM–9 PM
Tuesday: 7 AM–9 PM
Wednesday: 7 AM–9 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
7;Drogueria Florencia;16.210.093;-756.093.506;Dg. 20;+57 4342454;"Thursday: 7 AM–10 PM
Friday: 7 AM–10 PM
Saturday: 7 AM–9 PM
Sunday: 7 AM–8:30 PM
Monday: 7 AM–10 PM
Tuesday: 7 AM–10 PM
Wednesday: 7 AM–10 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
8;Drogueria Moderna;1.618.256;-756.148.029;#12-1 a;No aplica;"Thursday: 8 AM–6 PM
Friday: 8 AM–6 PM
Saturday: 8 AM–6 PM
Sunday: 8 AM–6 PM
Monday: 8 AM–6 PM
Tuesday: 8 AM–6 PM
Wednesday: 8 AM–6 PM";English;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
9;Drogueria Nakeyi;16.070.479;-756.017.186;Cl. 3 #12-2 a 12-72;+57 314 2972560;"Thursday: 7 AM–11 PM
Friday: 7 AM–11 PM
Saturday: 7 AM–11 PM
Sunday: 7 AM–11 PM
Monday: 7 AM–11 PM
Tuesday: 7 AM–11 PM
Wednesday: 7 AM–11 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
10;Drogueria Servisalud Florencia;15.995.415;-755.969.342;Cl. 4 Sur;+57 318 6101781;"Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours
Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
11;Drogueria Servisalud Florencia;16.113.018;-756.031.818;a 6b-47;+57 322 2827295;"Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours
Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
12;Drogueria Villafarma;16.148.408;-756.152.869;Cl. 15 #13 - 84;+57 4354783;"Thursday: 7:30 AM–9 PM
Friday: 7:30 AM–9 PM
Saturday: 7:30 AM–9 PM
Sunday: 7:30 AM–7 PM
Monday: 12 AM–9 PM
Tuesday: 7:30 AM–9 PM
Wednesday: 7:30 AM–9 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
13;Droguerias Farma-Ya;1.625.187;-756.045.547;calle 22 #2abis 02;+57 320 3411556;"Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours
Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
14;Droguerias unirebaja;1.615.502;-756.084.092;Cl. 13 #6 - 05;+57 305 3968677;"Thursday: 6:30 AM–10 PM
Friday: 6:30 AM–10 PM
Saturday: 6:30 AM–10 PM
Sunday: 9 AM–8 PM
Monday: 6:30 AM–10 PM
Tuesday: 6:30 AM–10 PM
Wednesday: 6:30 AM–10 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
15;Droguería El portal de la Gloria;16.153.858;-756.042.364;cra. 30 #26-26;+57 321 2953636;"Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours
Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
16;Droguería L&F;16.206.611;-756.320.528;cra. 30 #26-26;+57 313 3302826;"Thursday: 8 AM–8 PM
Friday: 8 AM–8 PM
Saturday: 9 AM–8 PM
Sunday: Closed
Monday: 8 AM–8 PM
Tuesday: 8 AM–8 PM
Wednesday: 8 AM–8 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
17;Droguería Pablo Sexto;16.192.563;-756.023.064;Cl. 13b #4-39;+57 321 4742863;"Thursday: 8 AM–5 PM
Friday: 8 AM–5 PM
Saturday: 8 AM–5 PM
Sunday: 9 AM–1 PM
Monday: 8 AM–5 PM
Tuesday: 8 AM–5 PM
Wednesday: 8 AM–5 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
18;Droguería San Jorge;16.146.457;-75.616.006;Cl. 15 #14-54;+57 84362290;"Thursday: 7:30 AM–7 PM
Friday: 7:30 AM–7 PM
Saturday: 8 AM–5 PM
Sunday: Closed
Monday: 7:30 AM–7 PM
Tuesday: 7:30 AM–7 PM
Wednesday: 7:30 AM–7 PM";Spanish;https://www.portafolio.co/files/article_main/uploads/2020/03/03/5e5ee10c24d25.jpeg
